,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Total SqKm,Change,Change_Pct
43,Colombia,COL,Forest area (sq. km),AG.LND.FRST.K2,644170.0,641551.40625,638932.890625,636314.296875,633695.78125,631077.1875,628458.59375,625840.1171875,623221.484375,620603.0078125,617984.4140625,614790.1953125,611596.09375,608401.9140625,605207.8125,602013.59375,598881.484375,595749.4140625,592617.3828125,589485.3125,586353.203125,586086.015625,585818.90625,585551.71875,585284.609375,585017.3828125,584750.1953125,609609.4227430555,1109500.0,59419.8046875,0.09747192623783454
44,Comoros,COM,Forest area (sq. km),AG.LND.FRST.K2,490.0,485.999984741211,482.000007629395,477.999992370605,474.000015258789,470.0,465.999984741211,462.000007629395,457.999992370605,454.000015258789,450.0,444.000015258789,437.999992370605,432.000007629395,425.999984741211,420.0,414.000015258789,407.999992370605,402.000007629395,395.999984741211,390.0,385.999984741211,382.000007629395,377.999992370605,374.000015258789,370.0,365.999984741211,429.4814809163411,1861.0000610351601,124.000015258789,0.2887202842698193
45,Cabo Verde,CPV,Forest area (sq. km),AG.LND.FRST.K2,577.5,601.8000030517579,626.199989318848,650.500030517578,674.899978637695,699.199981689453,723.4999847412109,747.900009155273,772.2000122070309,796.6000366210941,820.8999633789059,823.899993896484,826.900024414063,829.899978637695,832.900009155273,835.8999633789059,838.899993896484,841.900024414063,844.899978637695,847.900009155273,850.8999633789059,860.500030517578,870.1999664306641,879.8000335693359,889.400024414063,899.0000152587891,908.600006103516,791.5814816510236,4030.0,-331.10000610351597,-0.41827659410744605
46,Costa Rica,CRI,Forest area (sq. km),AG.LND.FRST.K2,25640.0,25451.999511718797,25263.9990234375,25076.0009765625,24888.000488281297,24700.0,24511.999511718797,24323.9990234375,24136.0009765625,23948.000488281297,23760.0,23990.0,24220.0,24450.0,24680.0,24910.0,25138.000488281297,25366.0009765625,25593.9990234375,25821.999511718797,26050.0,26351.999511718797,26653.9990234375,26956.0009765625,27258.000488281297,27560.0,27861.999511718797,25354.14813006367,51060.0,-2221.9995117187973,-0.08763850003242911
47,Caribbean small states,CSS,Forest area (sq. km),AG.LND.FRST.K2,349477.200317383,349229.988203049,348983.00625801104,348735.89422226,348488.811330795,348241.60027504,347994.588279724,347747.50538826,347500.394573212,347253.311271668,347006.20051384,346826.400032043,346646.49947166396,346466.80021286,346286.899633408,346107.100429535,345952.107810974,345797.195625305,345642.303390503,345487.39246368397,345332.40015029896,345153.30196380604,344974.20368194603,344795.195674896,344616.097373962,344437.000579834,344257.902393341,346645.8259822705,404850.0,5219.297924041981,0.015056572249939415
48,Cuba,CUB,Forest area (sq. km),AG.LND.FRST.K2,20580.0,20956.999511718797,21333.9990234375,21711.0009765625,22088.000488281297,22465.0,22841.999511718797,23218.9990234375,23596.0009765625,23973.000488281297,24350.0,24873.9990234375,25398.000488281297,25921.999511718797,26446.0009765625,26970.0,27440.0,27910.0,28380.0,28850.0,29320.0,29856.0009765625,30391.999511718797,30928.000488281297,31463.9990234375,32000.0,32536.0009765625,26140.777813946774,104020.0,-11956.0009765625,-0.45736974858428536
49,Cayman Islands,CYM,Forest area (sq. km),AG.LND.FRST.K2,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.99999809265094,240.0,0.0,0.0
50,Cyprus,CYP,Forest area (sq. km),AG.LND.FRST.K2,1611.10000610352,1621.60003662109,1632.10006713867,1642.59994506836,1653.09997558594,1663.60000610352,1674.10003662109,1684.60006713867,1695.09994506836,1705.59997558594,1716.10000610352,1718.60000610352,1721.10000610352,1723.50006103516,1726.00006103516,1728.50006103516,1728.50006103516,1728.50006103516,1728.50006103516,1728.39996337891,1728.39996337891,1728.09997558594,1727.79998779297,1727.59994506836,1727.29995727539,1726.99996948242,1726.6999816894502,1700.8925996003343,9240.0,-115.59997558593022,-0.06796430039915115
51,Czech Republic,CZE,Forest area (sq. km),AG.LND.FRST.K2,26290.0,26290.0,26290.0,26313.9990234375,26321.999511718797,26330.0,26338.000488281297,26346.0009765625,26353.9990234375,26361.999511718797,26370.0,26390.0,26410.0,26430.0,26450.0,26470.0,26490.0,26510.0,26530.0,26550.0,26570.0,26590.0,26610.0,26630.0,26650.0,26670.0,26690.0,26453.555501302093,77220.0,-400.0,-0.015120840749755218
52,Germany,DEU,Forest area (sq. km),AG.LND.FRST.K2,113000.0,113054.00390625,113107.998046875,113162.001953125,113215.99609375,113270.0,113324.00390625,113377.998046875,113432.001953125,113485.99609375,113540.0,113600.0,113660.0,113720.0,113780.0,113840.0,113890.0,113940.0,113990.0,114040.0,114090.0,114110.0,114130.0,114150.0,114170.0,114190.0,114210.0,113684.44444444444,349360.0,-1210.0,-0.010643496618319715
